Supplier,Country,Sub-Region,Category
Automatic Screw Machine Products,USA,Northern America,Fasteners
Av-Dec,USA,Northern America,Components
Avdel,USA,Northern America,Fasteners
Avibank,USA,Northern America,Hardware
AVK Industrial Products,USA,Northern America,Hardware
Avnet Electronics,USA,Northern America,Electrical
B&B Specialties,USA,Northern America,Distribution
B&E Manufacturing,USA,Northern America,Components
Barden Corporation,UK,Northern Europe,Bearings
Bell-Memphis,USA,Northern America,Components
Bergen Cable Technologies,USA,Northern America,Cables
Bernic Screw,USA,Northern America,Fasteners
Berry Plastics,USA,Northern America,Plastics
Biolink,USA,Northern America,Materials
Blanc Aero,France,Western Europe,Components
"Bolsan, Inc.",USA,Northern America,Seals
"BP Lubricants USA, Inc.",USA,Northern America,Chemicals
"BP Lubricants USA, Inc.",USA,Northern America,Chemicals
Breeze Industries,USA,Northern America,Hardware
Brennan Industries,USA,Northern America,Fittings
Bristol Industries,USA,Northern America,Components
Bussman,USA,Northern America,Electrical
Caillau,France,Western Europe,Fasteners
Caliber Aero,USA,Northern America,Distribution
California Screw Products,USA,Northern America,Fasteners
Cam-Tech Industries,USA,Northern America,Components
Caplugs,USA,Northern America,Protective
Carlisle Interconnect Technologies,USA,Northern America,Cables
Castrol,UK,Northern Europe,Chemicals
Champion Aerospace,USA,Northern America,Ignition
Chelton Limited,UK,Northern Europe,Antennas
Chemetall,Germany,Western Europe,Chemicals
Cherry Aerospace,USA,Northern America,Fasteners
Cinch Connectivity,USA,Northern America,Connectors
Circuit Systems,USA,Northern America,Electrical
Click Bond,USA,Northern America,Fasteners
CML Innovative Technologies,USA,Northern America,Lighting
Collins Aerospace,USA,Northern America,Avionics/Interiors
Cooper Standard Technical Rubber,USA,Northern America,Seals
Coorstek,USA,Northern America,Ceramics
Coursair Electrical Connectors,USA,Northern America,Connectors
Crescent Manufacturing,USA,Northern America,Components
Crissair Inc,USA,Northern America,Seals
Crouzet,France,Western Europe,Switches
Cytec Engineered Materials – Solvay Finance,USA,Northern America,Composites
"D.W. Mack Co., Inc.",USA,Northern America,Fasteners
"Danfoss Power Solutions II, LLC",USA,Northern America,Hydraulics
Daniels Manufacturing Corp,USA,Northern America,Tools
Dayton Granger Inc,USA,Northern America,Antennas
DDP Specialty Products,USA,Northern America,Plastics
DME Interconnect,USA,Northern America,Connectors
"Donaldson Company, Inc",USA,Northern America,Filters
Dow Performance Silicones,USA,Northern America,Sealants
Ducommun,USA,Northern America,Structural Parts
"Eagle-Picher Technologies, LLC",USA,Northern America,Batteries
Eastman,USA,Northern America,Chemicals
Eaton Aeroquip,USA,Northern America,Fittings
Eaton/ITD - Souriau & Sunbank,USA,Northern America,Connectors
Emerson Power Transmission,USA,Northern America,Bearings
Emhart Fastening Teknologies,USA,Northern America,Fasteners
Esna,USA,Northern America,Fasteners
Espa,Spain,Southern Europe,Components
Europa Fasteners (EUFA),Germany,Western Europe,Fasteners
Eveready,USA,Northern America,Batteries
ExxonMobil,USA,Northern America,Chemicals
Faber Enterprises,USA,Northern America,Distribution
FAG Bearings Limited,Germany,Western Europe,Bearings
Fastener Innovation Technology (FIT),USA,Northern America,Fasteners
Fastener Technology Corp.,USA,Northern America,Fasteners
Fatigue Technologies,USA,Northern America,Fasteners
Federal Manufacturing,USA,Northern America,Components
Feit,USA,Northern America,Lighting
Fibre-Metal,USA,Northern America,Safety
Fitz Manufacturing Industries,USA,Northern America,Components
FMH Aerospace Corp,USA,Northern America,Components
FMI,USA,Northern America,Components
Freeman Company,USA,Northern America,Materials
Freudenberg - NOK,USA,Northern America,Seals
Freudenberg Sealing Technologies,Germany,Western Europe,Seals
Freyssinet,France,Western Europe,Materials
Galaxy Bearings,USA,Northern America,Bearings
GE Aerospace,USA,Northern America,Engines
General Ecology,USA,Northern America,Filters
General Electric Lighting,USA,Northern America,Lighting
General Plastics,USA,Northern America,Foam Cores
Genie Fasteners,USA,Northern America,Fasteners
Gerard Daniel,USA,Northern America,Mesh
Ges Global Environmental Solutions Ltd,Canada,Northern America,Chemicals
GKN Aerospace,UK,Northern Europe,Aerostructures
GKN Bandy Machining,UK,Northern Europe,Components
Glenair,USA,Northern America,Connectors
Global Supply,USA,Northern America,Distribution
GMS Corporation,USA,Northern America,Components
Goodrich Lighting,USA,Northern America,Lighting
Green Tweed & Co.,USA,Northern America,Seals
GS Aerospace,USA,Northern America,Components
Hartwell Corporation,USA,Northern America,Latches
Hatch Industries,USA,Northern America,Components
Havells Sylvania,India,Southern Asia,Lighting
Heartland Precision Fasteners,USA,Northern America,Fasteners
Heim Bearings Company,USA,Northern America,Bearings
Hellermann Tyton,UK,Northern Europe,Cable Mgmt
Henkel,Germany,Western Europe,Adhesives
Hexcel,USA,Northern America,Composite Materials
Hi-Shear,USA,Northern America,Fasteners
HiRel Connectors,USA,Northern America,Connectors
HK Fittings,USA,Northern America,Fittings
"Ho-Ho-Kus, Inc.",USA,Northern America,Components
Hobson Manufacturing,USA,Northern America,Components
Honeywell Aerospace,USA,Northern America,Avionics/Systems
Honeywell Industrial Safety Products,USA,Northern America,Safety
Honeywell Sensing,USA,Northern America,Sensors
Hoosier Spring,USA,Northern America,Springs
Houston Precision Fasteners,USA,Northern America,Fasteners
Howard Leight,USA,Northern America,Safety
Howmet Fastening Systems,USA,Northern America,Fasteners
Huntsman Advanced Materials,USA,Northern America,Composites
Hutchinson Aerospace & Industry Inc.,France,Western Europe,Seals
Hutchinson Seal,France,Western Europe,Seals
Hydraflow,USA,Northern America,Fittings
Hydro Fitting Manufacturing,USA,Northern America,Fittings
Hytek Finishes,USA,Northern America,Surface Finishing
Ideal Fasteners,USA,Northern America,Fasteners
IFE – PMA Reading Lamps,Germany,Western Europe,Lighting
Indiana Aircraft Hardware,USA,Northern America,Hardware
Industrial Steel and Wire,USA,Northern America,Materials
Ingelbeen Soete,Belgium,Western Europe,Components
Inland Machine Company,USA,Northern America,Components
"Innovative Industries Northwest, Inc.",USA,Northern America,Components
Intercomp Usa Inc.,USA,Northern America,Tools
Isovolta,Austria,Western Europe,Materials
ITW,USA,Northern America,Fasteners
J.C. Carter,USA,Northern America,Bearings
J&M Products,USA,Northern America,Components
Janicki Industries,USA,Northern America,Composites (WA)
JEHIER,France,Western Europe,Seals
Jonal Laboratories Inc,USA,Northern America,Chemicals
"Kamatics, Corporation",USA,Northern America,Bearings
Kato Fastening Systems,USA,Northern America,Fasteners
Kidde Aerospace & Defense,USA,Northern America,Safety
Kirkhill-TA Company,USA,Northern America,Seals
Korry Electronics,USA,Northern America,Lighting Systems
L.D. Redmer Screw Products Inc.,USA,Northern America,Fasteners
LaDeau Manufacturing,USA,Northern America,Components
Lamsco West,USA,Northern America,Metals
Leach International Corp,USA,Northern America,Relays
Ledvance,Germany,Western Europe,Lighting
Lee Company,USA,Northern America,Valves
LFC Industries,USA,Northern America,Hardware
Liebherr,Switzerland,Western Europe,Landing Gear
"Lifeport, LLC.",USA,Northern America,Components
Lighthouse MFG.,USA,Northern America,Components
Linread,UK,Northern Europe,Seals
LISI Aerospace,France,Western Europe,Fasteners
Littlefuse,USA,Northern America,Fuses
Long-Lok,USA,Northern America,Fasteners
Loos & Company,USA,Northern America,Cables
Louis L'Hotellier,France,Western Europe,Springs
LTT Aerospace Controls,USA,Northern America,Controls
LTT Cannon LLC,USA,Northern America,Connectors
M.R.L. Manufacturing,USA,Northern America,Components
Mac Fasteners,USA,Northern America,Fasteners
MacLean-ESNA,USA,Northern America,Fasteners
Maeder Aero,USA,Northern America,Components
Magna-Aire Products,USA,Northern America,Hardware
Mankiewicz Coating,Germany,Western Europe,Coatings
Manufacturer's Supply,USA,Northern America,Distribution
Marketing Masters,USA,Northern America,Distribution
Marson Corporation,USA,Northern America,Fasteners
Master Machine Products,USA,Northern America,Components
Mayday Manufacturing,USA,Northern America,Components
Mecair,Italy,Southern Europe,Valves
Meg Technologies,USA,Northern America,Components
Meggitt,UK,Northern Europe,Brakes/Sensors
Meggitt Safety Systems,UK,Northern Europe,Safety
Mep Ltd,UK,Northern Europe,Components
Meriden Mfg,USA,Northern America,Components
Micro-Tronics,USA,Northern America,Components
Microlamp,USA,Northern America,Lighting
Midwest Fastener Supply Inc.,USA,Northern America,Fasteners
Miller,USA,Northern America,Tools
Minebea Company,Japan,Eastern Asia,Bearings
Mini Mac,USA,Northern America,Fasteners
Minor Rubber,USA,Northern America,Seals
Moeller Manufacturing & Supply,USA,Northern America,Components
Molex,USA,Northern America,Connectors
Momentive,USA,Northern America,Sealants
Monadnock Company,USA,Northern America,Fasteners
Monogram Aerospace Fasteners,USA,Northern America,Fasteners
Moog Inc.,USA,Northern America,Controls
Moog Inc.,USA,Northern America,Flight Controls
Morton Manufacturing,USA,Northern America,Components
MS Aerospace,USA,Northern America,Components
Nafco Taiwan,Taiwan,Eastern Asia,Hardware
National Utilities Corporation,USA,Northern America,Hardware
ND Industries,USA,Northern America,Coatings
New Hampshire Ball Bearings,USA,Northern America,Bearings
New Hampshire Ball Bearings V1 - BGS,USA,Northern America,Bearings
New Metals,USA,Northern America,Materials
Nitto,Japan,Eastern Asia,Tapes
North Safety,USA,Northern America,Safety
Norwich Aero Products,USA,Northern America,Components
NYCO,France,Western Europe,Fluids
Nylok Fasteners,USA,Northern America,Fasteners
Nylon Molding,USA,Northern America,Plastics
Ohio Gasket,USA,Northern America,Seals
Orkal Ind. LLC,USA,Northern America,Seals
Oshino Lamps,Japan,Eastern Asia,Lighting
Osram,Germany,Western Europe,Lighting
Ott Brothers,USA,Northern America,Hardware
Otto Engineering,USA,Northern America,Switches
"Packaging Systems, Inc.",USA,Northern America,Packaging
"Pacmet Aerospace, LLC",USA,Northern America,Metals
Pako Inc,USA,Northern America,Components
Pall,USA,Northern America,Filters
Pamco,USA,Northern America,Components
Panduit,USA,Northern America,Cable Mgmt
Paolo Astori,Italy,Southern Europe,Fasteners
Parker Aerospace,USA,Northern America,Fittings
Parker Aerospace,USA,Northern America,Fluid Systems
PB Fasteners,USA,Northern America,Fasteners
PCC,USA,Northern America,Metals
Penn Engineering & Manufacturing,USA,Northern America,Fasteners
Perfect Point,USA,Northern America,Components
Perkins,UK,Northern Europe,Engines
Permali,UK,Northern Europe,Composites
Permaswage,USA,Northern America,Fittings
Pexco Aerospace Inc.,USA,Northern America,Seals
Philips Lighting,Netherlands,Western Europe,Lighting
Pilgrim Screw,USA,Northern America,Fasteners
Pilgrim Screw Corporation,USA,Northern America,Fasteners
Poggipolini S.P.A,Italy,Southern Europe,Hardware
PPG,USA,Northern America,Coatings
Pratt & Whitney,USA,Northern America,Engines
Precision Aerospace Components,USA,Northern America,Components
Precision Castparts,USA,Northern America,Engine Components
Precision Shapes,USA,Northern America,Metals
PrecisionForm Rivet,USA,Northern America,Fasteners
Proponent,USA,Northern America,Distribution
Protective Closures,USA,Northern America,Protective
PSI Aerospace Bearings- Rexnord Division,USA,Northern America,Bearings
QRP,USA,Northern America,Seals
Qualiseal Technology,USA,Northern America,Seals
R&B Electronics,USA,Northern America,Electrical
Radiall,France,Western Europe,Connectors
Radio Components Corp.,USA,Northern America,Electrical
RAF Electronic Hardware,USA,Northern America,Hardware
Ralmark Company,USA,Northern America,Components
Ray-O-Vac,USA,Northern America,Batteries
RBC Heim,USA,Northern America,Bearings
RBC Transport Dynamics,USA,Northern America,Bearings
Reid Products Inc.,USA,Northern America,Components
"Rexnord Industries, LLC",USA,Northern America,Bearings
RGI,USA,Northern America,Components
Rhino Health,USA,Northern America,Materials
Roland Distribution LLC,USA,Northern America,Distribution
Rolls-Royce,UK,Northern Europe,Engines
Rudolf Wulfmeyer Aircraft,Germany,Western Europe,Components
RWG Frankenjura Industrie,Germany,Western Europe,Bearings
Safran,France,Western Europe,Landing Gear
Safran Power USA,USA,Northern America,Engines
Saint-Gobain Performance Plastics,France,Western Europe,Plastics
Saturn Fasteners,USA,Northern America,Fasteners
Schaeffler Aerospace Canada Inc.,Canada,Northern America,Bearings
Schaeffler Aerospace USA Corp,USA,Northern America,Bearings
Schneller,USA,Northern America,Fabrics
Schroff Inc.,USA,Northern America,Enclosures
Schwarz,USA,Northern America,Components
Scovill,USA,Northern America,Fittings
Seal Dynamics,USA,Northern America,Seals
Seastrom,USA,Northern America,Components
Sekisui Aerospace,USA,Northern America,Prepregs
Sekisui Aerospace,USA,Northern America,Prepregs (777X)
Senior Aerospace BWT,UK,Northern Europe,Tubing
Senior Aerospace Spencer,USA,Northern America,Tubing
Sensata,USA,Northern America,Sensors
Sesco Industries,USA,Northern America,Coatings
SFS Intec,Switzerland,Western Europe,Fasteners
Shaw Aero Devices,USA,Northern America,Hardware
Shell Eastern Petroleum (Pte) Ltd,Singapore,South-Eastern Asia,Chemicals
Shur-Lok,USA,Northern America,Fasteners
Slabe Manufacturing,USA,Northern America,Components
Sloan,USA,Northern America,Valves
Smalley Steel Ring Co,USA,Northern America,Rings
Snap-On/ATI Distributor,USA,Northern America,Tools
Socomore,France,Western Europe,Chemicals
Solutia Europe Bv,Netherlands,Western Europe,Materials
Solvay,Belgium,Western Europe,Advanced Materials
Solvay/Cytec Industries,Belgium,Western Europe,Composites
Sonic Industries,USA,Northern America,Components
Sopoc,France,Western Europe,Components
Southco Fasteners,USA,Northern America,Hardware
Space-Lok,USA,Northern America,Fasteners
Specline Inc,USA,Northern America,Coatings
Spirit AeroSystems,USA,Northern America,Fuselages/Wings
Spirol,USA,Northern America,Pins
SPS Technologies,USA,Northern America,Fasteners
Square D (electrical),USA,Northern America,Electrical
Staffall Inc,USA,Northern America,Coatings
Stakefast,USA,Northern America,Fasteners
Stanmar Limited,Canada,Northern America,Components
"Step'n Components, LLC",USA,Northern America,Hardware
Stimpson,USA,Northern America,Fasteners
Stpi Relais Electroniques,France,Western Europe,Relays
Streamlight,USA,Northern America,Lighting
"Stroco Manufacturing, Inc.",USA,Northern America,Hardware
Stuart Industries,USA,Northern America,Components
Sumitomo,Japan,Eastern Asia,Electrical
Superior Washer & Gasket,USA,Northern America,Seals
Sycronis Aerospace,USA,Northern America,Components
TA Aerospace,USA,Northern America,Components
TE Connectivity,Switzerland,Western Europe,Connectors
TFI,USA,Northern America,Components
Thomas & Betts,USA,Northern America,Electrical
Timken Super Precision,USA,Northern America,Bearings
Toray Composites (USA),USA,Northern America,Carbon Fiber
Toray Composites USA,USA,Northern America,Carbon Fiber (WA)
"TPS Aviation, Inc.",USA,Northern America,Distribution
Trelleborg Sealing Solutions,Sweden,Northern Europe,Seals
Tri-Fitting Manufacturing,USA,Northern America,Fittings
Triumph Aerostructures,USA,Northern America,Wing Components
Triumph Group,USA,Northern America,Structures/Systems
"Turbocombustor Technology, Inc. DBA Paradigm Precision",USA,Northern America,Components
Twist-Tite Manufacturing,USA,Northern America,Fasteners
Umpco,USA,Northern America,Fasteners
"United Precision Products Co., Inc",USA,Northern America,Components
Uvex,USA,Northern America,Safety
Valley Todeco,USA,Northern America,Seals
Veritiv Operating Company,USA,Northern America,Distribution
Vermont Aerospace Industries LLC.,USA,Northern America,Components
Voi-Shan/Diessel GmbH,Germany,Western Europe,Components
Voss Industries,USA,Northern America,Seals
W.L. Gore,USA,Northern America,Materials
W.S. Wilson Corp.,USA,Northern America,Components
Wal Machine (GKN PGM),USA,Northern America,Components
Wamco,USA,Northern America,Distribution
Welch Allyn Lighting Products,USA,Northern America,Lighting
West Coast Aerospace,USA,Northern America,Distribution
Western Filament,USA,Northern America,Lighting
Western Sky,USA,Northern America,Components
Western Wire,USA,Northern America,Cables
Woodward,USA,Northern America,Fuel Systems
Young Engineers,USA,Northern America,Components
"Zeus Industrial Products, Inc",USA,Northern America,Tubing
Zodiac Services/ECE,France,Western Europe,Components
Jamco Corp,Japan,Eastern Asia,Interiors
